Month,Year,monthyr,Custom Variable (Value 06),Sessions,Users,Pageviews,Story Visits (Goal 6 Conversion Rate),Streaming Visits (Goal 1 Conversion Rate),Streaming Event (Goal 11 Conversion Rate)
Nov,2015,Nov2015,KAMU,630,492,1565,0.041269841,0.011111111,0.122222222
Nov,2015,Nov2015,WJSU,624,473,1493,0.233974359,0,0.028846154
Nov,2015,Nov2015,KISU,564,236,1235,0.054964539,0,0.15070922
Nov,2015,Nov2015,WYEP,488,395,827,0,0,0
Nov,2015,Nov2015,North Country Public Radio,325,283,443,0,0,0
Nov,2015,Nov2015,NPR Berlin,197,162,298,0,0,0.015228426
Nov,2015,Nov2015,WFDD,139,88,355,0.09352518,0,0.215827338
Nov,2015,Nov2015,WICN,114,85,183,0,0,0
Nov,2015,Nov2015,WOUB,75,34,297,0,0,0
Nov,2015,Nov2015,NPRStations,60,20,1160,0,0.1,0.016666667
Nov,2015,Nov2015,Test Station,26,25,144,0.153846154,0.884615385,0.153846154
Nov,2015,Nov2015,minnesota+public+radio,25,18,49,0.52,0.08,0
Nov,2015,Nov2015,WITH Radio,15,5,321,0.266666667,0.466666667,0.2
Oct,2015,Oct2015,KQED,2792020,1962801,4271314,0.730890538,0.106064426,0.104792587
Oct,2015,Oct2015,WBUR,2644155,1819202,4038044,0.788902693,0.0815251,0.000602839
Oct,2015,Oct2015,minnesota public radio,2086540,1263130,3222080,0.711132305,0.066317444,0
Oct,2015,Oct2015,WAMU 88.5,907789,437096,1841932,0.103109864,0.224340678,0
Oct,2015,Oct2015,Oregon Public Broadcasting,806007,515491,1530009,0.606858253,0.0046079,1.99E-05
Oct,2015,Oct2015,WHYY,777937,505896,1156259,0.501879972,0.109107807,0.00658151
Oct,2015,Oct2015,KPBS,565042,409586,996803,0.627087898,0.110122787,7.08E-06
Oct,2015,Oct2015,Michigan Radio,527694,352929,883044,0.728945184,0.001243145,0.168713307
Oct,2015,Oct2015,Public Media for North Texas,456632,320923,752378,0.566633525,0.151347256,0.014657317
Oct,2015,Oct2015,Chicago Public Media,452742,319898,1805438,0.481689351,0.000276095,0
Oct,2015,Oct2015,Colorado Public Radio,381914,216332,613344,0.371554853,0.072545128,2.62E-06
Oct,2015,Oct2015,KEXP,380797,179516,697621,0.154683467,0.00414394,7.88E-06
Oct,2015,Oct2015,KUOW,365228,244994,551128,0.639055604,0.089864413,0.157030677
Oct,2015,Oct2015,WXPN,252381,185490,778246,0.3083473,0.130643749,9.11E-05
Oct,2015,Oct2015,KUT,246305,184974,348631,0.705020199,0.003625586,0.01753923
Oct,2015,Oct2015,Indiana Public Media / WFIU,243180,205807,339219,0.089629081,0.000164487,0.001389917
Oct,2015,Oct2015,Capital Public Radio,242848,157474,433803,0.462371525,0.195929141,5.35E-05
Oct,2015,Oct2015,Vermont Public Radio,240897,119910,494000,0.447730773,0.294889517,0.037049029
Oct,2015,Oct2015,St. Louis Public Radio,227664,167484,333431,0.840427121,0.008156757,0.035328379
Oct,2015,Oct2015,WABE,219252,158952,349056,0.768421725,0.000205243,0.015831098
Oct,2015,Oct2015,KCUR,218108,163670,325251,0.749591945,0.120174409,0.025620335
Oct,2015,Oct2015,KPLU,213985,128125,302536,0.450078277,0.098740566,0.104698927
Oct,2015,Oct2015,Houston Public Media,203362,148545,325597,0.155378094,0.013257147,0.012544133
Oct,2015,Oct2015,WGBH,187136,143441,323745,0.6554431,0.003660439,0.016923521
Oct,2015,Oct2015,Louisville Public Media,178092,114478,274648,0.09876356,0.018557824,0
Oct,2015,Oct2015,NHPR,158676,103418,279186,0.664511331,0.160471653,0.135294563
Oct,2015,Oct2015,North Carolina Public Radio - WUNC,150148,92820,276606,0.508178597,0.00281722,0.238171671
Oct,2015,Oct2015,WNPR,138876,91215,267240,0.65441833,0.001432933,0.146411187
Oct,2015,Oct2015,KUSC,131402,53820,219752,0.019116908,0.209273831,0
Oct,2015,Oct2015,WAMC Northeast Public Radio,130440,74519,272484,0.451655934,0.091712665,0.20490647
Oct,2015,Oct2015,WBGO,127812,56353,320573,0.065040841,0.607595531,0
Oct,2015,Oct2015,WLRN,117387,85951,190146,0.621278336,0.000451498,0.020172592
Oct,2015,Oct2015,ideastream,116850,69603,248933,0.040248181,0.007488233,0
Oct,2015,Oct2015,Cincinnati Public Radio,116334,79802,197383,0.694388571,0.095114068,0.113053793
Oct,2015,Oct2015,Maine Public Broadcasting Network (MPBN),112194,64184,205256,0.415655026,0.000356525,0.011925771
Oct,2015,Oct2015,Capital Community Broadcasting,108525,65416,192902,0.792785073,0.000654227,0
Oct,2015,Oct2015,KSTX,106583,75384,193360,0.669994277,0.001716972,0.141288949
Oct,2015,Oct2015,West Virginia Public Broadcasting,99376,70885,159038,0.730236677,0.13757849,0.003018838
Oct,2015,Oct2015,Nashville Public Radio,98961,61582,186063,0.551833551,0.034751064,0.180950071
Oct,2015,Oct2015,witf,95789,67423,180212,0.600037583,0.129670421,0
Oct,2015,Oct2015,WKSU,94830,58257,176212,0.256174206,0.145692291,6.33E-05
Oct,2015,Oct2015,KUNC,94316,60349,160941,0.495578693,0.140983502,0.214067603
Oct,2015,Oct2015,WRTI,91322,43019,180048,0.267536848,0.204452377,0.401787083
Oct,2015,Oct2015,WUSF Public Media,89090,72318,166873,0.88483556,0.00014592,0.005354136
Oct,2015,Oct2015,Iowa Public Radio,87968,45321,174812,0.384151055,0.011890688,0.345750728
Oct,2015,Oct2015,KUAZ-AM/FM,87901,52128,199890,0.381190203,5.69E-05,0.098212762
Oct,2015,Oct2015,NET Radio,86992,68525,144201,0.206444271,0.003218687,9.20E-05
Oct,2015,Oct2015,Rhode Island Public Radio,86750,56677,134488,0.786201729,0.043861671,0.007942363
Oct,2015,Oct2015,WFUV,82033,23343,97352,0.000121902,0.994392501,0
Oct,2015,Oct2015,KUER,81848,43779,140474,0.519560649,0.009224416,0.147627309
Oct,2015,Oct2015,Boise State Public Radio,78839,56881,126083,0.696825175,0.173023504,0.14899986
Oct,2015,Oct2015,WESA,75051,52082,122449,0.633142796,0.09261702,0.129751769
Oct,2015,Oct2015,WXXI Public Broadcasting,73824,47522,111235,0.564288036,0.061023515,0.08902254
Oct,2015,Oct2015,KALW,72569,49627,149032,0.605561603,0.074315479,0.1217462
Oct,2015,Oct2015,WOSU Public Media,70975,47236,122499,0.609862628,0.000126805,0.225516027
Oct,2015,Oct2015,WUWM 89.7 FM - Milwaukee Public Radio,70381,45279,129097,0.567184325,0.116991802,0.174294199
Oct,2015,Oct2015,WYPR Your Public Radio,68416,40055,124697,0.366040108,0.134734565,0.278765201
Oct,2015,Oct2015,WUFT-FM,68061,49983,103486,0.685811258,0.057771705,0
Oct,2015,Oct2015,89.9 WWNO New Orleans Public Radio,68054,39088,115605,0.475328416,0.34037676,0.201516443
Oct,2015,Oct2015,Nevada Public Radio,65863,44153,115217,0.006073213,0.001791598,6.07E-05
Oct,2015,Oct2015,WFAE,65151,41465,104018,0.471504658,0.000122792,0.230986478
Oct,2015,Oct2015,KWSU,63191,42383,104127,0.52801823,0.001028627,0.201880015
Oct,2015,Oct2015,WRVO Public Media,60059,36502,109556,0.599310678,0.119665662,0.196956326
Oct,2015,Oct2015,WBFO,58516,40767,107852,0.679796979,0.014355048,0.155495933
Oct,2015,Oct2015,Jefferson Public Radio,55921,25744,120735,0.367750934,0.082151607,0.234437868
Oct,2015,Oct2015,WVTF & RADIO IQ,55420,30779,99577,0.421219776,0.112612775,0.292818477
Oct,2015,Oct2015,WMFE,54655,30722,97793,7.32E-05,0.000146373,0.152428872
Oct,2015,Oct2015,MTPR,52908,31927,93972,0.530449081,0.31908218,0.153209345
Oct,2015,Oct2015,Wyoming Public Media,45098,28093,74057,0.558228746,4.43E-05,0.221783671
Oct,2015,Oct2015,WKAR,44069,27660,110350,0.421997322,0.039211237,0.173750255
Oct,2015,Oct2015,South Dakota Public Broadcasting,43571,29653,128360,0.351793624,0.112138808,0.048725069
Oct,2015,Oct2015,WUIS,43325,31061,81151,0.815995384,0.035706867,0.069082516
Oct,2015,Oct2015,WNKU,43324,15809,80685,0.155294987,9.23E-05,0.487651186
Oct,2015,Oct2015,WNCW,42723,20246,90674,0.103012429,0.583175339,0.358448611
Oct,2015,Oct2015,KMUW,42068,26721,74829,0.595939907,0.26238471,0.009888752
Oct,2015,Oct2015,Illinois Public Media,41590,20919,81439,0.232748257,0.172709786,2.40E-05
Oct,2015,Oct2015,KGOU,40238,30249,76104,0.658258363,0.097047567,0.101346985
